composer_name	nationality	birth	death
Luigi Bassi	Italian	1833	1871
Brinley Richards	British	1817	1885
Jacob Fabricius	Danish	1840	1919
Kevin Pearson	Swedish	1993	-
Horatio Parker	American	1863	1919
Adrien Talexy	French	1820	1881
Joseph Ascher	Dutch	1829	1869
Edmund Parlow	unknown	1855	1944
Maciej Żołnowski	Polish	1977	-
Marcel Dupré	French	1886	1971
Sigismond Stojowski	Polish	1870	1946
Bernhard Lufer	unknown	unknown	unknown
John Manuel Pacheco	unknown	1982	-
Per Lasson	Norwegian	1859	1883
Sophia Maria Westenholz	German	1759	1838
Franz Asplmayr	Austrian	1728	1786
John Lemmoné	Australian	1861	1949
Katarzyna Brochocka	unknown	unknown	unknown
